"Week.Ending","SKU","Dollars","Units","ARP"
2013-01-05,1099,6373309.26,1708662,3.73
2013-01-05,1100,26244.86,17614,1.49
2013-01-05,1101,1647.82,1753,0.94
2013-01-05,1102,1376550.35,476315,2.89
2013-01-05,1103,9487.8,7530,1.26
2013-01-05,1104,33755.28,21638,1.56
2013-01-05,1105,7794490.28,2019298,3.86
2013-01-05,1106,644504.85,252747,2.55
2013-01-05,1107,12575981.44,3008608,4.18
2013-01-05,1108,9688588,2422147,4
2013-01-05,1109,242578.8,112305,2.16
2013-01-05,1110,2016.63,2079,0.97
2013-01-05,1111,163.2,255,0.64
2013-01-05,1112,233999.55,108837,2.15
2013-01-05,1113,1647.82,1753,0.94
2013-01-05,1114,10728.93,8317,1.29
2013-01-05,1115,1.45,5,0.29
2013-01-05,1116,1647.82,1753,0.94
2013-01-05,1117,7374.95,6095,1.21
2013-01-05,1119,71798.28,40564,1.77
2013-01-05,1120,8350.47,6789,1.23
2013-01-05,1122,13446.9,10035,1.34
2013-01-05,1123,38,76,0.5
2013-01-05,1124,17424659.7,3951170,4.41
2013-01-05,1125,2011889.88,653211,3.08
2013-01-05,1127,2043963.93,661477,3.09
2013-01-05,1128,24075.66,16378,1.47
2013-01-05,1129,630027557.04,78557052,8.02
2013-01-05,1130,176599.3,86146,2.05
2013-01-05,1131,300829.76,134299,2.24
2013-01-05,1132,129166.05,66239,1.95
2013-01-05,1133,402030.95,171077,2.35
2013-01-05,1134,5566,4840,1.15
2013-01-05,1135,281367.24,126742,2.22
2013-01-05,1136,0,0,0.16
2013-01-05,1137,3508.53,3279,1.07
2013-01-05,1138,0,0,0.16
2013-01-05,1139,0,0,0.1
2013-01-05,1140,337.68,469,0.72
2013-01-05,1141,624,780,0.8
2013-01-05,1142,0,0,0.16
2013-01-05,1143,163.2,255,0.64
2013-01-05,1144,238.68,351,0.68
2013-01-05,1145,2016.63,2079,0.97
2013-01-05,1146,10728.93,8317,1.29
2013-01-05,1147,9487.8,7530,1.26
2013-01-05,1148,386047458.91,52239169,7.39
2013-01-05,1149,26244.86,17614,1.49
2013-01-05,1150,951877.6,349955,2.72
2013-01-05,1151,0,0,0.16
2013-01-05,1152,10812850.4,2656720,4.07
2013-01-05,1153,12575981.44,3008608,4.18
2013-01-05,1154,80505,44725,1.8
2013-01-05,1155,3113134.44,940524,3.31
2013-01-05,1156,11989.12,9152,1.31
2013-01-05,1157,1690590.85,565415,2.99
2013-01-05,1158,12320875.84,2961749,4.16
2013-01-05,1159,26244.86,17614,1.49
2013-01-05,1160,415797.54,175442,2.37
2013-01-05,1161,28732.56,18903,1.52
2013-01-05,1162,27627896.8,5804180,4.76
2013-01-05,1163,233999.55,108837,2.15
2013-01-05,1164,595349.41,237191,2.51
2013-01-05,1165,508477.9,207542,2.45
2013-01-05,1166,1329.51,1461,0.91
2013-01-05,1167,552427461.25,70372925,7.85
2013-01-05,1168,105490.56,56112,1.88
2013-01-05,1169,1501865.26,512582,2.93
2013-01-05,1170,8169883.03,2100227,3.89
2013-01-05,1171,22025642.85,4798615,4.59
2013-01-05,1172,26244.86,17614,1.49
2013-01-05,1173,2740278.6,845765,3.24
2013-01-05,1174,1031324.25,375027,2.75
2013-01-05,1175,31175.76,20244,1.54
2013-01-05,1176,2168437.44,695012,3.12
2013-01-05,1177,191474907.4,29099530,6.58
2013-01-05,1178,2954.64,2841,1.04
2013-01-05,1179,415797.54,175442,2.37
2013-01-05,1180,931744.07,343817,2.71
2013-01-05,1181,3766114.26,1101203,3.42
2013-01-05,1182,4133.8,3758,1.1
2013-01-05,1183,261510.09,119411,2.19
2013-01-05,1184,7374.95,6095,1.21
2013-01-05,1185,494810.04,202791,2.44
2013-01-05,1186,42934113.99,8369223,5.13
2013-01-05,1187,343696.94,150086,2.29
2013-01-05,1188,816414.65,308081,2.65
2013-01-05,1189,106.8,178,0.6
2013-01-05,1192,3932188.32,1143078,3.44
2013-01-05,1193,0,0,0.1
2013-01-05,1194,1.45,5,0.29
2013-01-05,1195,820.68,977,0.84
2013-01-05,1196,3.74,11,0.34
2013-01-05,1198,89873.13,49111,1.83
2013-01-05,1199,1329.51,1461,0.91
2013-01-05,1201,6823126.96,1809848,3.77
2013-01-05,1202,10728.93,8317,1.29
2013-01-05,1203,2069654.19,669791,3.09
2013-01-05,1204,55621.28,32912,1.69
2013-01-05,1205,4133.8,3758,1.1
2013-01-05,1206,65.45,119,0.55
2013-01-05,1207,106.8,178,0.6
2013-01-05,1208,465.12,612,0.76
2013-01-05,1210,261510.09,119411,2.19
2013-01-05,1211,440567.82,184338,2.39
2013-01-05,1212,165072465.24,25712222,6.42
2013-01-05,1213,20.25,45,0.45
2013-01-05,1214,300829.76,134299,2.24
2013-01-05,1215,9487.8,7530,1.26
2013-01-05,1216,2954.64,2841,1.04
2013-01-05,1217,465.12,612,0.76
2013-01-05,1218,192079.68,92346,2.08
2013-01-05,1219,727347.4,279749,2.6
2013-01-05,1220,911871,337730,2.7
2013-01-05,1221,0,0,0.1
2013-01-05,1222,238.68,351,0.68
2013-01-05,1223,106.8,178,0.6
2013-01-05,1224,14915.12,10967,1.36
2013-01-05,1226,238.68,351,0.68
2013-01-05,1227,4834.14,4278,1.13
2013-01-05,1228,12320875.84,2961749,4.16
2013-01-05,1229,59408.82,34742,1.71
2013-01-05,1230,513154051.5,66213426,7.75
2013-01-05,1231,14006601.75,3295671,4.25
2013-01-05,1232,7309210.92,1913406,3.82
2013-01-05,1233,9412103,2364850,3.98
2013-01-05,1234,6596085,1758956,3.75
2013-01-05,1235,176599.3,86146,2.05
2013-01-05,1236,4151376.14,1196362,3.47
2013-01-05,1238,53134387.56,10006476,5.31
2013-01-05,1239,135067.52,68912,1.96
2013-01-05,1240,1583398.72,534932,2.96
2013-01-05,1241,261510.09,119411,2.19
2013-01-05,1242,20107.23,14061,1.43
2013-01-05,1243,1326384.85,462155,2.87
2013-01-05,1244,337.68,469,0.72
2013-01-05,1245,4133.8,3758,1.1
2013-01-05,1246,106.8,178,0.6
2013-01-05,1247,106.8,178,0.6
2013-01-05,1248,38,76,0.5
2013-01-05,1249,42353.28,26144,1.62
2013-01-05,1250,13446.9,10035,1.34
2013-01-05,1251,7374.95,6095,1.21
2013-01-05,1252,9.6,24,0.4
2013-01-05,1253,0,0,0.16
2013-01-05,1254,624,780,0.8
2013-01-05,1255,465.12,612,0.76
2013-01-05,1256,117239.04,61062,1.92
2013-01-05,1257,565454.1,227090,2.49
2013-01-05,1258,75858.26,42617,1.78
2013-01-05,1259,38798282.88,7698072,5.04
2013-01-05,1260,3348281.45,999487,3.35
2013-01-05,1261,553394337.9,70496094,7.85
2013-01-05,1262,71798.28,40564,1.77
2013-01-05,1263,1376550.35,476315,2.89
2013-01-05,1264,0,0,0.03
2013-01-05,1265,3638819.4,1070241,3.4
2013-01-05,1266,19818698.9,4394390,4.51
2013-01-05,1267,290997.16,130492,2.23
2013-01-05,1268,2102268.1,678151,3.1
2013-01-05,1269,48833.88,29418,1.66
2013-01-05,1270,1210198.56,427632,2.83
2013-01-05,1271,536501.29,217207,2.47
2013-01-05,1272,192079.68,92346,2.08
2013-01-05,1273,9487.8,7530,1.26
2013-01-05,1274,0,0,0.1
2013-01-05,1275,536501.29,217207,2.47
2013-01-05,1276,15375536.64,3559152,4.32
2013-01-05,1277,216388.4,102070,2.12
2013-01-05,1278,74235355.56,13209138,5.62
2013-01-05,1280,1801949.44,596672,3.02
2013-01-12,1001,11989.12,9152,1.31
2013-01-12,1002,2465.41,2441,1.01
2013-01-12,1003,148115.7,74430,1.99
2013-01-12,1004,4834.14,4278,1.13
2013-01-12,1005,65.45,119,0.55
2013-01-12,1006,2465.41,2441,1.01
2013-01-12,1007,624,780,0.8
2013-01-12,1009,135067.52,68912,1.96
2013-01-12,1010,3508.53,3279,1.07
2013-01-12,1011,820.68,977,0.84
2013-01-12,1013,10728.93,8317,1.29
2013-01-12,1014,31810465.44,6518538,4.88
2013-01-12,1015,2297266.65,729291,3.15
2013-01-12,1016,238.68,351,0.68
2013-01-12,1018,67494,38568,1.75
2013-01-12,1019,9487.8,7530,1.26
2013-01-12,1020,170611678.35,26451423,6.45
2013-01-12,1022,5152780.8,1431328,3.6
2013-01-12,1023,337.68,469,0.72
2013-01-12,1024,106.8,178,0.6
2013-01-12,1025,10728.93,8317,1.29
2013-01-12,1027,5566,4840,1.15
2013-01-12,1028,18300.39,12979,1.41
2013-01-12,1030,580285,232114,2.5
2013-01-12,1031,2954.64,2841,1.04
2013-01-12,1032,1329.51,1461,0.91
2013-01-12,1033,80505,44725,1.8
2013-01-12,1035,1074405.44,387872,2.77
2013-01-12,1038,65.45,119,0.55
2013-01-12,1039,7970659.74,2059602,3.87
2013-01-12,1040,0,0,0
2013-01-12,1041,0.22,1,0.22
2013-01-12,1044,5566,4840,1.15
2013-01-12,1045,0,0,0.03
2013-01-12,1046,3.74,11,0.34
2013-01-12,1047,135067.52,68912,1.96
2013-01-12,1048,86129625.6,14953060,5.76
2013-01-12,1049,65.45,119,0.55
2013-01-12,1050,0,0,0.16
2013-01-12,1051,105490.56,56112,1.88
2013-01-12,1052,242578.8,112305,2.16
2013-01-12,1053,390237.12,166768,2.34
2013-01-12,1054,257405999.3,37251230,6.91
2013-01-12,1055,80505,44725,1.8
2013-01-12,1056,238.68,351,0.68
2013-01-12,1057,9.6,24,0.4
2013-01-12,1058,2016.63,2079,0.97
2013-01-12,1059,8350.47,6789,1.23
2013-01-12,1061,155320.74,77274,2.01
2013-01-12,1062,7846210.42,2032697,3.86
2013-01-12,1063,202736643.28,30532627,6.64
2013-01-12,1065,1611165.6,542480,2.97
2013-01-12,1066,3.74,11,0.34
2013-01-12,1068,1647.82,1753,0.94
2013-01-12,1069,18283768.4,4108712,4.45
2013-01-12,1070,18300.39,12979,1.41
2013-01-12,1071,85339.8,46890,1.82
2013-01-12,1072,6425.1,5445,1.18
2013-01-12,1073,37872029.58,7544229,5.02
2013-01-12,1074,1052730.24,381424,2.76
2013-01-12,1075,624,780,0.8
2013-01-12,1076,163.2,255,0.64
2013-01-12,1077,0,0,0.03
2013-01-12,1078,80505,44725,1.8
2013-01-12,1080,565454.1,227090,2.49
2013-01-12,1081,292063551.5,41368775,7.06
2013-01-12,1082,39340.8,24588,1.6
2013-01-12,1083,453285.6,188869,2.4
2013-01-12,1084,65.45,119,0.55
2013-01-12,1086,624,780,0.8
2013-01-12,1087,5466184.36,1501699,3.64
2013-01-12,1088,337.68,469,0.72
2013-01-12,1090,5670789.36,1549396,3.66
2013-01-12,1091,122790.46,63622,1.93
2013-01-12,1092,1191951510.92,133626851,8.92
2013-01-12,1094,17890156.3,4038410,4.43
2013-01-12,1095,1748650.47,580947,3.01
2013-01-12,1096,0,0,0.03
2013-01-12,1098,428071.56,179862,2.38
2013-01-12,1099,5000096.5,1396675,3.58
2013-01-12,1100,33755.28,21638,1.56
2013-01-12,1101,1329.51,1461,0.91
2013-01-12,1102,1141067.2,407524,2.8
2013-01-12,1103,13446.9,10035,1.34
2013-01-12,1104,80505,44725,1.8
2013-01-12,1105,5209078.38,1442958,3.61
2013-01-12,1106,693473.04,268788,2.58
2013-01-12,1107,12415495.29,2977337,4.17
2013-01-12,1108,6548722.5,1746326,3.75
2013-01-12,1109,565454.1,227090,2.49
2013-01-12,1110,4133.8,3758,1.1
2013-01-12,1111,1329.51,1461,0.91
2013-01-12,1112,89873.13,49111,1.83
2013-01-12,1113,4834.14,4278,1.13
2013-01-12,1114,28732.56,18903,1.52
2013-01-12,1115,38,76,0.5
2013-01-12,1116,1046.61,1203,0.87
2013-01-12,1117,5566,4840,1.15
2013-01-12,1119,105490.56,56112,1.88
2013-01-12,1120,31175.76,20244,1.54
2013-01-12,1122,6425.1,5445,1.18
2013-01-12,1123,238.68,351,0.68
2013-01-12,1124,14350688.59,3360817,4.27
2013-01-12,1125,1980125.44,644992,3.07
2013-01-12,1127,1475271.6,505230,2.92
2013-01-12,1128,42353.28,26144,1.62
2013-01-12,1129,565884769.44,71812788,7.88
2013-01-12,1130,200613,95530,2.1
2013-01-12,1131,762218.26,290923,2.62
2013-01-12,1132,155320.74,77274,2.01
2013-01-12,1133,233999.55,108837,2.15
2013-01-12,1134,6425.1,5445,1.18
2013-01-12,1135,176599.3,86146,2.05
2013-01-12,1136,0,0,0.1
2013-01-12,1137,337.68,469,0.72
2013-01-12,1138,0.22,1,0.22
2013-01-12,1139,3.74,11,0.34
2013-01-12,1140,163.2,255,0.64
2013-01-12,1141,465.12,612,0.76
2013-01-12,1142,38,76,0.5
2013-01-12,1143,20.25,45,0.45
2013-01-12,1144,3508.53,3279,1.07
2013-01-12,1145,7374.95,6095,1.21
2013-01-12,1146,20107.23,14061,1.43
2013-01-12,1147,28732.56,18903,1.52
2013-01-12,1148,321836506.14,44886542,7.17
2013-01-12,1149,22031.3,15194,1.45
2013-01-12,1150,536501.29,217207,2.47
2013-01-12,1151,0,0,0.03
2013-01-12,1152,5611561.1,1537414,3.65
2013-01-12,1153,8740351.44,2224008,3.93
2013-01-12,1154,36475.88,23086,1.58
2013-01-12,1155,1748650.47,580947,3.01
2013-01-12,1156,4133.8,3758,1.1
2013-01-12,1157,1528750.02,519983,2.94
2013-01-12,1158,10111709.27,2509109,4.03
2013-01-12,1159,20107.23,14061,1.43
2013-01-12,1160,135067.52,68912,1.96
2013-01-12,1161,20107.23,14061,1.43
2013-01-12,1162,26271855.12,5566071,4.72
2013-01-12,1163,333005.4,146055,2.28
2013-01-12,1164,565454.1,227090,2.49
2013-01-12,1165,565454.1,227090,2.49
2013-01-12,1166,163.2,255,0.64
2013-01-12,1167,504639522.5,65283250,7.73
2013-01-12,1168,67494,38568,1.75
2013-01-12,1169,1453946.84,497927,2.92
2013-01-12,1170,5834916,1585575,3.68
2013-01-12,1171,13033343.4,3103177,4.2
2013-01-12,1172,26244.86,17614,1.49
2013-01-12,1173,2634626.54,818207,3.22
2013-01-12,1174,378657.62,162514,2.33
2013-01-12,1175,18300.39,12979,1.41
2013-01-12,1176,2043963.93,661477,3.09
2013-01-12,1177,162308755.2,25360743,6.4
2013-01-12,1178,820.68,977,0.84
2013-01-12,1179,169589.28,83132,2.04
2013-01-12,1180,536501.29,217207,2.47
2013-01-12,1181,2817820.12,864362,3.26
2013-01-12,1182,5566,4840,1.15
2013-01-12,1183,200613,95530,2.1
2013-01-12,1184,13446.9,10035,1.34
2013-01-12,1185,693473.04,268788,2.58
2013-01-12,1186,47440342.72,9105632,5.21
2013-01-12,1187,270705.6,123048,2.2
2013-01-12,1188,200613,95530,2.1
2013-01-12,1189,0,0,0.16
2013-01-12,1192,4200857.64,1207143,3.48
2013-01-12,1193,0,0,0.1
2013-01-12,1194,465.12,612,0.76
2013-01-12,1195,820.68,977,0.84
2013-01-12,1196,0,0,0.16
2013-01-12,1198,89873.13,49111,1.83
2013-01-12,1199,8350.47,6789,1.23
2013-01-12,1201,6661302.48,1771623,3.76
2013-01-12,1202,11989.12,9152,1.31
2013-01-12,1203,1052730.24,381424,2.76
2013-01-12,1204,141851.16,71642,1.98
2013-01-12,1205,820.68,977,0.84
2013-01-12,1206,1329.51,1461,0.91
2013-01-12,1207,337.68,469,0.72
2013-01-12,1208,820.68,977,0.84
2013-01-12,1210,95067.8,51388,1.85
2013-01-12,1211,216388.4,102070,2.12
2013-01-12,1212,141852363.72,22660122,6.26
2013-01-12,1213,9.6,24,0.4
2013-01-12,1214,261510.09,119411,2.19
2013-01-12,1215,8350.47,6789,1.23
2013-01-12,1216,1647.82,1753,0.94
2013-01-12,1217,38,76,0.5
2013-01-12,1218,141851.16,71642,1.98
2013-01-12,1219,322521.6,142080,2.27
2013-01-12,1220,727347.4,279749,2.6
2013-01-12,1221,0,0,0.1
2013-01-12,1222,337.68,469,0.72
2013-01-12,1223,624,780,0.8
2013-01-12,1224,3508.53,3279,1.07
2013-01-12,1226,465.12,612,0.76
2013-01-12,1227,9487.8,7530,1.26
2013-01-12,1228,14524488.16,3393572,4.28
2013-01-12,1229,28732.56,18903,1.52
2013-01-12,1230,455416821.6,59923266,7.6
2013-01-12,1231,12033813.1,2899714,4.15
2013-01-12,1232,5096855.83,1419737,3.59
2013-01-12,1233,9140076,2308100,3.96
2013-01-12,1234,6596085,1758956,3.75
2013-01-12,1235,111260.2,58558,1.9
2013-01-12,1236,4200857.64,1207143,3.48
2013-01-12,1238,46172445.75,8896425,5.19
2013-01-12,1239,105490.56,56112,1.88
2013-01-12,1240,1831956.18,604606,3.03
2013-01-12,1241,129166.05,66239,1.95
2013-01-12,1242,13446.9,10035,1.34
2013-01-12,1243,762218.26,290923,2.62
2013-01-12,1244,2465.41,2441,1.01
2013-01-12,1245,5566,4840,1.15
2013-01-12,1246,0,0,0.1
2013-01-12,1247,7374.95,6095,1.21
2013-01-12,1248,9.6,24,0.4
2013-01-12,1249,300829.76,134299,2.24
2013-01-12,1250,337.68,469,0.72
2013-01-12,1251,4133.8,3758,1.1
2013-01-12,1252,238.68,351,0.68
2013-01-12,1253,0,0,0.03
2013-01-12,1254,238.68,351,0.68
2013-01-12,1255,11989.12,9152,1.31
2013-01-12,1256,135067.52,68912,1.96
2013-01-12,1257,1257679.35,441291,2.85
2013-01-12,1258,52000.46,31138,1.67
2013-01-12,1259,34879175.1,7046298,4.95
2013-01-12,1260,2458709.22,773179,3.18
2013-01-12,1261,515388330.72,66416022,7.76
2013-01-12,1262,59408.82,34742,1.71
2013-01-12,1263,1917519.75,628695,3.05
2013-01-12,1264,0,0,0
2013-01-12,1265,2194957.44,703512,3.12
2013-01-12,1266,17348088.87,3933807,4.41
2013-01-12,1267,75858.26,42617,1.78
2013-01-12,1268,1301729,455150,2.86
2013-01-12,1269,59408.82,34742,1.71
2013-01-12,1270,2359600.44,746709,3.16
2013-01-12,1271,644504.85,252747,2.55
2013-01-12,1272,89873.13,49111,1.83
2013-01-12,1273,14915.12,10967,1.36
2013-01-12,1274,0,0,0.1
2013-01-12,1275,1052730.24,381424,2.76
2013-01-12,1276,15018012.3,3492561,4.3
2013-01-12,1277,89873.13,49111,1.83
2013-01-12,1278,73088836.8,13051578,5.6
2013-01-12,1279,0,0,0
2013-01-12,1280,1186878.78,420879,2.82
2013-01-19,1001,33755.28,21638,1.56
2013-01-19,1002,337.68,469,0.72
2013-01-19,1003,225609.5,105425,2.14
2013-01-19,1004,1647.82,1753,0.94
2013-01-19,1005,337.68,469,0.72
2013-01-19,1006,26244.86,17614,1.49
2013-01-19,1007,9.6,24,0.4
2013-01-19,1009,261510.09,119411,2.19
2013-01-19,1010,624,780,0.8
2013-01-19,1011,337.68,469,0.72
2013-01-19,1013,13446.9,10035,1.34
2013-01-19,1014,34667597.25,7003555,4.95
2013-01-19,1015,1801949.44,596672,3.02
2013-01-19,1016,820.68,977,0.84
2013-01-19,1018,85339.8,46890,1.82
2013-01-19,1019,4834.14,4278,1.13
2013-01-19,1020,159365024.72,24978844,6.38
2013-01-19,1022,4377383.5,1250681,3.5
2013-01-19,1023,624,780,0.8
2013-01-19,1024,0,0,0.1
2013-01-19,1025,820.68,977,0.84
2013-01-19,1027,16488.24,11948,1.38
2013-01-19,1028,85339.8,46890,1.82
2013-01-19,1030,494810.04,202791,2.44
2013-01-19,1031,1647.82,1753,0.94
2013-01-19,1032,1046.61,1203,0.87
2013-01-19,1033,10728.93,8317,1.29
2013-01-19,1034,0,0,0
2013-01-19,1035,402030.95,171077,2.35
2013-01-19,1036,0,0,0
2013-01-19,1037,0,0,0.16
2013-01-19,1038,163.2,255,0.64
2013-01-19,1039,5611561.1,1537414,3.65
2013-01-19,1044,1647.82,1753,0.94
2013-01-19,1045,9.6,24,0.4
2013-01-19,1046,0,0,0.16
2013-01-19,1047,80505,44725,1.8
2013-01-19,1048,67442331.6,12195720,5.53
2013-01-19,1049,0,0,0.16
2013-01-19,1050,465.12,612,0.76
2013-01-19,1051,26244.86,17614,1.49
2013-01-19,1052,356139.63,154173,2.31
2013-01-19,1053,89873.13,49111,1.83
2013-01-19,1054,197179195.18,29830438,6.61
2013-01-19,1055,39340.8,24588,1.6
2013-01-19,1056,9.6,24,0.4
2013-01-19,1057,3.74,11,0.34
2013-01-19,1058,3508.53,3279,1.07
2013-01-19,1059,36475.88,23086,1.58
2013-01-19,1061,270705.6,123048,2.2
2013-01-19,1062,2999269.28,911632,3.29
2013-01-19,1063,197840492.63,29930483,6.61
2013-01-19,1065,1186878.78,420879,2.82
2013-01-19,1068,2954.64,2841,1.04
2013-01-19,1069,13364094.34,3166847,4.22
2013-01-19,1070,6425.1,5445,1.18
2013-01-19,1071,16488.24,11948,1.38
2013-01-19,1072,820.68,977,0.84
2013-01-19,1073,28668504.46,5985074,4.79
2013-01-19,1074,610651.44,242322,2.52
2013-01-19,1075,624,780,0.8
2013-01-19,1076,106.8,178,0.6
2013-01-19,1077,0,0,0.03
2013-01-19,1078,71798.28,40564,1.77
2013-01-19,1080,281367.24,126742,2.22
2013-01-19,1081,269150473.2,38671045,6.96
2013-01-19,1082,33755.28,21638,1.56
2013-01-19,1083,312246.12,138162,2.26
2013-01-19,1084,465.12,612,0.76
2013-01-19,1086,10728.93,8317,1.29
2013-01-19,1087,3766114.26,1101203,3.42
2013-01-19,1088,38,76,0.5
2013-01-19,1090,5774660.59,1573477,3.67
2013-01-19,1091,59408.82,34742,1.71
2013-01-19,1092,1081104289.46,123132607,8.78
2013-01-19,1094,16513517.69,3778837,4.37
2013-01-19,1095,660584.96,258041,2.56
2013-01-19,1098,580285,232114,2.5
2013-01-19,1099,2848350.02,873727,3.26
2013-01-19,1100,14915.12,10967,1.36
2013-01-19,1101,1329.51,1461,0.91
2013-01-19,1102,1096354.16,394372,2.78
2013-01-19,1103,9487.8,7530,1.26
2013-01-19,1104,36475.88,23086,1.58
2013-01-19,1105,4570905.22,1294874,3.53
2013-01-19,1106,626195.24,247508,2.53
2013-01-19,1107,9412103,2364850,3.98
2013-01-19,1108,5670789.36,1549396,3.66
2013-01-19,1109,122790.46,63622,1.93
2013-01-19,1110,11989.12,9152,1.31
2013-01-19,1111,1647.82,1753,0.94
2013-01-19,1112,536501.29,217207,2.47
2013-01-19,1113,1329.51,1461,0.91
2013-01-19,1114,20107.23,14061,1.43
2013-01-19,1115,238.68,351,0.68
2013-01-19,1116,9.6,24,0.4
2013-01-19,1117,20107.23,14061,1.43
2013-01-19,1119,155320.74,77274,2.01
2013-01-19,1120,820.68,977,0.84
2013-01-19,1122,22031.3,15194,1.45
2013-01-19,1123,65.45,119,0.55
2013-01-19,1124,11630302.68,2822889,4.12
2013-01-19,1125,693473.04,268788,2.58
2013-01-19,1127,1257679.35,441291,2.85
2013-01-19,1128,33755.28,21638,1.56
2013-01-19,1129,483768675.84,62990713,7.68
2013-01-19,1130,270705.6,123048,2.2
2013-01-19,1131,242578.8,112305,2.16
2013-01-19,1132,85339.8,46890,1.82
2013-01-19,1133,270705.6,123048,2.2
2013-01-19,1134,65.45,119,0.55
2013-01-19,1135,233999.55,108837,2.15
2013-01-19,1136,9.6,24,0.4
2013-01-19,1137,624,780,0.8
2013-01-19,1138,3.74,11,0.34
2013-01-19,1139,65.45,119,0.55
2013-01-19,1140,0,0,0
2013-01-19,1141,1329.51,1461,0.91
2013-01-19,1142,1.45,5,0.29
2013-01-19,1143,820.68,977,0.84
2013-01-19,1144,2016.63,2079,0.97
2013-01-19,1145,2465.41,2441,1.01
2013-01-19,1146,11989.12,9152,1.31
2013-01-19,1147,45516.56,27754,1.64
2013-01-19,1148,273164854.68,39135366,6.98
2013-01-19,1149,28732.56,18903,1.52
2013-01-19,1150,550862.56,222122,2.48
2013-01-19,1151,0.22,1,0.22
2013-01-19,1152,4428454.68,1261668,3.51
2013-01-19,1153,7722849.75,2005935,3.85
2013-01-19,1154,16488.24,11948,1.38
2013-01-19,1155,1555927.35,527433,2.95
2013-01-19,1156,31175.76,20244,1.54
2013-01-19,1157,1031324.25,375027,2.75
2013-01-19,1158,8096202,2086650,3.88
2013-01-19,1159,9487.8,7530,1.26
2013-01-19,1160,312246.12,138162,2.26
2013-01-19,1161,5566,4840,1.15
2013-01-19,1162,20611014.34,4539871,4.54
2013-01-19,1163,161951.48,80174,2.02
2013-01-19,1164,333005.4,146055,2.28
2013-01-19,1165,233999.55,108837,2.15
2013-01-19,1166,2465.41,2441,1.01
2013-01-19,1167,414451795.12,55407994,7.48
2013-01-19,1168,22031.3,15194,1.45
